Well,CBD_pl_1,CBD_pl_2,CBD_pl_3,V_pl_1,V_pl_2,V_pl_3,veh,cbd,fr_change,log_fr_change,veh_sd,cbd_sd
A01,5909,4570,6143,10930,12477,9567,10991.333333333334,5540.666666666667,0.5040941347728514,-0.988,1455.9692075498483,848.7251223649112
A02,5446,5457,6520,11639,12121,10836,11532,5807.666666666667,0.5036131344664123,-0.99,649.1479030236484,616.9232799411393
A03,5637,6294,6457,12726,12119,10074,11639.666666666666,6129.333333333333,0.5265901085368997,-0.925,1389.4590074317894,434.0925400572248
A04,5234,6298,6240,12730,10999,11706,11811.666666666666,5924,0.5015380273740652,-0.996,870.324269070634,598.2608126895827
A05,6850,6766,5551,12814,12583,13246,12881,6389,0.49600186320937817,-1.012,336.5397450524975,726.943601663843
A06,6331,5883,5934,10803,13146,12792,12247,6049.333333333333,0.49394409515255433,-1.018,1263.00475058489,245.2597262767235
A07,5141,6453,4063,14960,12158,13016,13378,5219,0.3901181043504261,-1.358,1435.6475890691281,1196.9076823214061
A08,5678,5801,5526,13253,11292,11997,12180.666666666666,5668.333333333333,0.46535493404849215,-1.104,993.3178410425,137.75461274793426
A09,6033,5833,5708,12541,12672,11796,12336.333333333334,5858,0.47485746710259663,-1.074,472.5043209678969,163.93596310755
A10,6079,5874,5349,12787,11752,11413,11984,5767.333333333333,0.4812527814864263,-1.055,715.7771999721701,376.50807870925337
A11,4867,5358,5954,11471,10735,10321,10842.333333333334,5393,0.497402158207028,-1.008,582.4648773388258,544.3445599985362
A12,4450,4338,6119,10681,12604,10611,11298.666666666666,4969,0.43978640547557235,-1.185,1130.9935160438954,997.5023809495394
A13,5752,4819,4948,12610,12061,13410,12693.666666666666,5173,0.4075260628659962,-1.295,678.3806699290107,505.560085449791
A14,5585,5295,6530,10850,11144,12007,11333.666666666666,5803.333333333333,0.5120437634187229,-0.966,601.3670537478199,645.8005368016763
A15,6081,6263,5404,13498,12281,12312,12697,5916,0.46593683547294634,-1.102,693.8594958635358,452.64666131542384
A16,6120,7133,6168,13958,13876,14420,14084.666666666666,6473.666666666667,0.45962512424859187,-1.121,293.28711757138825,571.5035724589421
A17,6814,6692,6071,13145,13993,13707,13615,6525.666666666667,0.47929979189619293,-1.061,431.4209081627825,398.4499132053279
A18,5057,7022,7204,12172,11649,14027,12616,6427.666666666667,0.5094853096596914,-0.973,1249.6291449866237,1190.51515460045
A19,6289,5742,5756,12189,12901,13149,12746.333333333334,5929,0.4651533774418787,-1.104,498.33857299363586,311.8477192477123
A20,6182,6900,6231,12160,13685,12403,12749.333333333334,6437.666666666667,0.5049414348462665,-0.986,819.3694730299228,401.1412884923881
A21,6451,5185,6893,12224,13197,12372,12597.666666666666,6176.333333333333,0.49027597703278386,-1.028,524.2864992857753,886.5085071973836
A22,6742,6571,6320,11591,13122,12187,12300,6544.333333333333,0.5320596205962059,-0.91,771.7298750210465,212.26006061747304
A23,5920,6496,5325,10557,12494,11989,11680,5913.666666666667,0.5063070776255708,-0.982,1004.7900278167574,585.5256897296081
A24,5450,5698,5201,10525,9666,10804,10331.666666666666,5449.666666666667,0.527472172931118,-0.923,593.1225280946031,248.5001676726463
B01,5215,4162,4473,10231,11850,9269,10450,4616.666666666667,0.44178628389154706,-1.179,1304.3622962965467,541.0012322844868
B02,5992,5069,6980,12665,12968,10353,11995.333333333334,6013.666666666667,0.5013338520535764,-0.996,1430.3483258749714,955.6842226035404
B03,6224,6556,7371,11683,12485,11527,11898.333333333334,6717,0.5645328477377783,-0.825,514.0207518508696,590.205896276884
B04,4161,2665,5071,11973,14973,9558,12168,3965.6666666666665,0.3259094893710278,-1.617,2712.7615081315203,1214.8355169871077
B05,4851,3525,5557,11582,12183,11997,11920.666666666666,4644.333333333333,0.3896034897377104,-1.36,307.6854454362983,1031.6439954428724
B06,5991,5965,6313,12377,14490,12021,12962.666666666666,6089.666666666667,0.46978502365768365,-1.09,1334.632658574386,193.84873828150992
B07,2734,3575,2520,3360,3126,2620,3035.3333333333335,2943,0.9695804963760157,-0.045,378.2397828538576,557.6889814224412
B08,5922,5547,6460,9585,9160,8591,9112,5976.333333333333,0.6558750365817969,-0.609,498.73540078883514,458.9186565540056
B09,6186,5652,4731,10765,12210,9890,10955,5523,0.5041533546325878,-0.988,1171.61213718534,736.0278527338487
B10,5104,5531,5153,14936,13295,13649,13960,5262.666666666667,0.376981852913085,-1.407,863.5745480269784,233.67142173002958
B11,3833,2373,3555,5607,5741,4878,5408.666666666667,3253.6666666666665,0.6015653888820411,-0.733,464.42904014858215,775.2427576787372
B12,3611,2938,3271,5008,4612,4110,4576.666666666667,3273.3333333333335,0.7152221412964311,-0.484,450.041479569754,336.5060673053806
B13,5810,5019,6317,12422,12783,11177,12127.333333333334,5715.333333333333,0.47127700511241816,-1.085,842.5736367424116,654.1577281767245
B14,5961,5262,6878,13058,11753,12167,12326,6033.666666666667,0.4895072745957056,-1.031,666.8710520033089,810.4469960048797
B15,4263,2909,3150,8951,8690,7281,8307.333333333334,3440.6666666666665,0.4141722173180322,-1.272,898.3598017127288,722.2841084596374
B16,6037,5870,5367,12923,12000,10589,11837.333333333334,5758,0.4864271232259518,-1.04,1175.4719619511702,348.75922926856
B17,6078,7364,6092,14707,13133,10533,12791,6511.333333333333,0.5090558465587783,-0.974,2107.911762859157,738.4641720038511
B18,4507,4063,3614,12642,12151,10771,11854.666666666666,4061.3333333333335,0.3425936340119222,-1.545,970.0620255083348,446.5023329539649
B19,4276,3853,3641,5872,4662,7056,5863.333333333333,3923.3333333333335,0.6691301876065947,-0.58,1197.0235308185604,323.289859620331
B20,6439,7342,6804,13643,12732,13869,13414.666666666666,6861.666666666667,0.5115048205943744,-0.967,601.9089078368365,454.25360024256645
B21,6992,6394,6029,12329,12699,13331,12786.333333333334,6471.666666666667,0.5061393675538987,-0.982,506.67675428554384,486.17520847255605
B22,6129,4157,4419,11634,11571,10260,11155,4901.666666666667,0.4394143134618258,-1.186,775.7325570066014,1070.9441317516676
B23,6859,4900,5598,11279,12490,12547,12105.333333333334,5785.666666666667,0.4779436061240225,-1.065,716.1929442080069,992.8919041533843
B24,5604,5456,5307,12959,12629,10059,11882.333333333334,5455.666666666667,0.45914102168485427,-1.123,1587.6502553564287,148.50028058334883
C01,6140,4464,5682,13835,10484,11625,11981.333333333334,5428.666666666667,0.4530937013131538,-1.142,1703.681406053765,866.2432298917743
C02,6858,6830,8047,13570,13696,11738,13001.333333333334,7245,0.5572505384063172,-0.844,1095.89111381256,694.6934575767933
C03,3301,3077,3643,5574,5148,4581,5101,3340.3333333333335,0.6548389204731099,-0.611,498.1656351054336,285.04268686169326
C04,3954,3946,3902,4931,4848,4219,4666,3934,0.8431204457779683,-0.246,389.33147830608306,28
C05,6223,6457,6829,13218,13434,12437,13029.666666666666,6503,0.4990918161119497,-1.003,524.5038925816789,305.6075915287446
C06,6397,6839,7190,13431,13050,12795,13092,6808.666666666667,0.520063142886241,-0.943,320.07342907526703,397.36926571305605
C07,5359,6845,5767,11918,10787,12746,11817,5990.333333333333,0.506925051479507,-0.98,983.3976815103847,767.7612476110874
C08,6697,6176,7140,12999,11411,11531,11980.333333333334,6671,0.5568292479341143,-0.845,884.229231214018,482.525646986769
C09,5673,7045,5757,11393,12200,12875,12156,6158.333333333333,0.5066085335088296,-0.981,741.9791102180708,769.023623390942
C10,3625,4300,3705,5597,4960,4248,4935,3876.6666666666665,0.7855454238432962,-0.348,674.84739015573,368.7930765799886
C11,4067,3902,4114,4850,4553,4822,4741.666666666667,4027.6666666666665,0.8494200351493848,-0.235,163.9888207571886,111.33882221998459
C12,6109,6205,7491,12255,11739,13177,12390.333333333334,6601.666666666667,0.5328078340641899,-0.908,728.4897619962366,771.6795535281036
C13,6417,5023,4237,16232,13893,11117,13747.333333333334,5225.666666666667,0.38012220551864606,-1.395,2560.609367579001,1104.040458195864
C14,7231,6344,6495,13888,11805,12662,12785,6690,0.523269456394212,-0.934,1046.9331401765826,474.5640104348411
C15,6414,6102,6658,12218,11524,12512,12084.666666666666,6391.333333333333,0.5288795719093066,-0.919,507.31581222482447,278.692183839686
C16,7955,7455,6629,14032,12424,12122,12859.333333333334,7346.333333333333,0.5712841515889885,-0.808,1026.7235914954585,669.6456774543783
C17,6087,7162,6016,11669,13138,11382,12063,6421.666666666667,0.532344082455995,-0.91,941.9718679451101,642.1295300274963
C18,6795,7370,6463,11655,11383,12476,11838,6876,0.580841358337557,-0.784,569.0158170033588,458.89323377012215
C19,7251,7010,6240,12800,11849,12611,12420,6833.666666666667,0.5502147074610843,-0.862,503.44910368377856,528.0628119204507
C20,7570,7344,6457,13961,14100,14690,14250.333333333334,7123.666666666667,0.49989473930434375,-1,387.053398555462,588.3046263062473
C21,6551,6681,7456,12607,12186,11871,12221.333333333334,6896,0.5642592188522801,-0.826,369.2700005867432,489.3107397145499
C22,7470,7510,6563,13638,12019,13496,13051,7181,0.550226036319056,-0.862,896.5539582200281,535.577258665825
C23,7610,5457,7862,11890,13525,12282,12565.666666666666,6976.333333333333,0.5551900681751863,-0.849,853.6136909242573,1321.8004135773801
C24,7162,6590,5638,12527,12910,13831,13089.333333333334,6463.333333333333,0.49378628909035344,-1.018,670.2419960979267,769.8553976775985
D01,4776,5200,5502,12191,12328,10972,11830.333333333334,5159.333333333333,0.4361105632413851,-1.197,746.487999457013,364.7044465499884
D02,7366,5994,5868,11542,11944,10276,11254,6409.333333333333,0.5695160239322314,-0.812,870.4964101017304,830.8894832246544
D03,6793,6602,6236,12002,10245,11398,11215,6543.666666666667,0.583474513300639,-0.777,892.6807940131791,283.0447550005711
D04,6275,5975,6628,11937,10987,11154,11359.333333333334,6292.666666666667,0.553964434532543,-0.852,507.1945714746298,326.858277137559
D05,4379,3317,4438,8197,9132,7931,8420,4044.6666666666665,0.4803642121931908,-1.058,630.7907735533233,630.867920672254
D06,6799,3319,5098,7496,11519,5492,8169,5072,0.6208838291100502,-0.688,3069.3450441421537,1740.1456835564084
D07,3973,2798,4640,7255,9166,6641,7687.333333333333,3803.6666666666665,0.4947966351574018,-1.015,1316.8486372143661,932.601915789011
D08,2638,2439,2717,3174,3088,2962,3074.6666666666665,2598,0.8449696444058977,-0.243,106.62707598604274,143.2515270424717
D09,6180,6720,7318,13621,13051,12725,13132.333333333334,6739.333333333333,0.5131862832195344,-0.962,453.50339947274193,569.2462853048172
D10,5803,7042,5874,13240,13743,13417,13466.666666666666,6239.666666666667,0.46334158415841586,-1.11,255.15158892966616,695.7473200331665
D11,6122,6453,5686,13117,13562,9418,12032.333333333334,6087,0.5058869158101781,-0.983,2274.985787501393,384.69598386258207
D12,3942,2427,2903,5656,7231,4430,5772.333333333333,3090.6666666666665,0.5354276144828781,-0.901,1404.1190595292599,774.7388807419784
D13,6751,5658,5891,12215,12095,10788,11699.333333333334,6100,0.5213972306114308,-0.94,791.5152135829945,575.6934948390506
D14,3501,2794,2558,9301,8156,7307,8254.666666666666,2951,0.3574947504441932,-1.484,1000.654952185484,490.7127469304216
D15,6255,6266,6026,13243,12877,11495,12538.333333333334,6182.333333333333,0.49307457131463506,-1.02,921.8987652303985,135.50030750272612
D16,3230,3431,3484,3688,3750,3069,3502.3333333333335,3381.6666666666665,0.9655467783382506,-0.051,376.55588341351586,133.99378095021177
D17,6260,2563,2697,8387,7069,9645,8367,3840,0.45894585873072785,-1.124,1288.1164543627258,2096.852164555241
D18,6858,6090,5846,13358,11014,11404,11925.333333333334,6264.666666666667,0.5253242397137746,-0.929,1255.9559440256387,528.1262475330433
D19,6344,6997,7252,12916,9645,12093,11551.333333333334,6864.333333333333,0.5942459744906792,-0.751,1701.4441904844641,468.3122177920766
D20,3707,3667,3347,9316,6569,8216,8033.666666666667,3573.6666666666665,0.4448363138458985,-1.169,1382.5470456130356,197.3153144926499
D21,5523,6826,6426,12688,12005,13201,12631.333333333334,6258.333333333333,0.4954610228532221,-1.013,600.010277689752,667.4850809818398
D22,5964,3624,2752,11166,9415,9720,10100.333333333334,4113.333333333333,0.407247285568133,-1.296,935.4091796285375,1660.9699977222147
D23,6627,5668,7539,12409,11354,12121,11961.333333333334,6611.333333333333,0.5527254486679299,-0.855,545.3222289007971,935.5983824982455
D24,5768,5734,6701,13251,13011,11674,12645.333333333334,6067.666666666667,0.4798344580345846,-1.059,849.7154425649409,548.7461465316484
E01,5620,6863,6830,13448,13314,11778,12846.666666666666,6437.666666666667,0.5011157239231967,-0.997,927.9145075562368,708.3123134136052
E02,6715,7635,6033,12218,11967,12551,12245.333333333334,6794.333333333333,0.5548508275261324,-0.85,292.95790368811237,803.9411255392607
E03,3313,3451,3192,4518,4571,4162,4417,3318.6666666666665,0.7513395215455437,-0.412,222.42077241121163,129.5929524832787
E04,4039,3837,4566,4060,4591,3484,4045,4147.333333333333,1.0252987227029253,0.036,553.6524180386102,376.38056981376354
E05,6920,6319,6764,13618,13359,13294,13423.666666666666,6667.666666666667,0.49670979116485814,-1.01,171.4069232362956,311.86588998050644
E06,6171,7676,7341,15167,13661,11158,13328.666666666666,7062.666666666667,0.5298854599109689,-0.916,2025.0566247227098,790.1634851936233
E07,5787,6965,5901,12630,13054,12658,12780.666666666666,6217.666666666667,0.4864900109540452,-1.04,237.12725135111177,649.7148092304294
E08,5745,7338,7020,13337,11906,12179,12474,6701,0.5371973705307038,-0.896,759.7427196097374,843.0498205918793
E09,6398,6506,5734,13385,13064,12290,12913,6212.666666666667,0.4811172203722347,-1.056,562.9005240715272,418.0398705067895
E10,3499,4102,3715,4450,5149,4019,4539.333333333333,3772,0.8309590248200911,-0.267,570.2721572489169,305.51432044995863
E11,3250,3371,3616,3958,4132,3692,3927.3333333333335,3412.3333333333335,0.868867764386352,-0.203,221.59723223301626,186.46804909510192
E12,5438,6112,7609,11311,12129,11534,11658,6386.333333333333,0.5478069422999943,-0.868,422.8628619304372,1111.1950023885697
E13,5464,6070,5874,12186,12488,10773,11815.666666666666,5802.666666666667,0.4910993878184332,-1.026,915.5142452924113,309.2334608889105
E14,5869,5439,6283,13125,13975,11081,12727,5863.666666666667,0.4607265393782248,-1.118,1487.4851259760549,422.02527570435086
E15,5934,6715,5662,12994,12978,11088,12353.333333333334,6103.666666666667,0.4940906637884512,-1.017,1095.8400126539152,546.6190019870635
E16,5777,6047,7055,14527,11717,12574,12939.333333333334,6293,0.4863465402648256,-1.04,1440.1827430341377,673.5785032199291
E17,6248,6872,7019,15207,12695,12645,13515.666666666666,6713,0.4966828618640097,-1.01,1464.9509661873783,409.35436970918
E18,6636,6389,6909,14463,12364,13639,13488.666666666666,6644.666666666667,0.4926110809074285,-1.021,1057.5444829099783,260.10831077328794
E19,6224,7202,6937,13433,13531,11240,12734.666666666666,6787.666666666667,0.5330070149722542,-0.908,1295.346414413277,505.8125476234584
E20,6870,6875,7164,12617,10147,12811,11858.333333333334,6969.666666666667,0.5877442023893183,-0.767,1485.2290507976652,168.31617074224727
E21,7390,7027,7255,13139,13587,12629,13118.333333333334,7224,0.550679710329056,-0.861,479.3342605461593,183.4747939091362
E22,6889,7097,7584,13241,13073,12032,12782,7190,0.5625097793772492,-0.83,654.9282403439327,356.7113679152937
E23,6723,7568,3790,12720,12859,13327,12968.666666666666,6027,0.464735516372796,-1.106,318.0131024554387,1982.834587150426
E24,5916,6388,6887,14062,12167,10458,12229,6397,0.5231008259056341,-0.935,1802.7997670290508,485.56256033594684
F01,5735,5507,6069,10934,12082,11502,11506,5770.333333333333,0.5015064603974737,-0.996,574.0104528664962,282.66116346844206
F02,5818,5922,6389,12511,12492,10428,11810.333333333334,6043,0.5116705709689255,-0.967,1197.173476708089,304.1233302461355
F03,7866,6993,7009,12610,14253,12352,13071.666666666666,7289.333333333333,0.5576437587657784,-0.843,1031.1655217923712,499.47205460699536
F04,6534,4395,6370,13342,13360,11775,12825.666666666666,5766.333333333333,0.4495932635080698,-1.153,909.948533343141,1190.4370345941584
F05,7404,4260,6644,12660,13387,9990,12012.333333333334,6102.666666666667,0.5080334101062797,-0.977,1788.716392649582,1640.4162073490172
F06,5421,6509,6659,11922,12144,11486,11850.666666666666,6196.333333333333,0.5228679117911791,-0.935,334.74965770457976,675.6340232206585
F07,5903,5398,6565,12589,10622,10769,11326.666666666666,5955.333333333333,0.5257798705120659,-0.927,1095.6807625094698,585.2574931885395
F08,5296,4335,4884,10503,10262,7325,9363.333333333334,4838.333333333333,0.5167319330722676,-0.953,1769.3564743525635,482.12481094975124
F09,3478,3283,3450,3699,4158,3565,3807.3333333333335,3403.6666666666665,0.8939765365084923,-0.162,310.98928170169035,105.43402360402136
F10,3111,3036,3221,5520,6106,5573,5733,3122.6666666666665,0.5446828303971161,-0.877,324.1126347429239,93.05016568138572
F11,6043,5084,5425,12785,11882,11106,11924.333333333334,5517.333333333333,0.46269532887932235,-1.112,840.3001447895468,486.1217268682129
F12,5649,5421,6404,11615,13781,11969,12455,5824.666666666667,0.4676568981667336,-1.096,1161.9104956923318,514.5059118545998
F13,7939,5623,6735,13108,11927,10724,11919.666666666666,6765.666666666667,0.5676053580916692,-0.817,1192.0169182244576,1158.3045080346244
F14,2781,2500,2439,2816,2811,3205,2944,2573.3333333333335,0.8740942028985508,-0.194,226.04645540242387,182.4125361189119
F15,5838,5697,6095,13258,11417,12632,12435.666666666666,5876.666666666667,0.4725654702870775,-1.081,936.0717565087269,201.79775353886706
F16,5946,4633,4735,10599,10041,9876,10172,5104.666666666667,0.5018351028968411,-0.995,378.88388722668054,730.3987495425587
F17,6029,5430,5937,12732,13205,10758,12231.666666666666,5798.666666666667,0.4740700367897534,-1.077,1297.9608365945921,322.5714391159473
F18,7088,6300,7187,15826,12117,13829,13924,6858.333333333333,0.4925548214114718,-1.022,1856.3240557618167,486.0579526489957
F19,6506,7329,7336,14321,12507,13792,13540,7057,0.5211964549483014,-0.94,932.8863810775672,477.1928331398115
F20,6486,6276,6368,13909,13058,11887,12951.333333333334,6376.666666666667,0.49235599938230296,-1.022,1015.21147222307,105.26791217333673
F21,6119,6595,5278,11662,12540,12400,12200.666666666666,5997.333333333333,0.491557838369488,-1.025,471.72166934892164,666.8765502949802
F22,6861,5572,2813,11699,10199,9807,10568.333333333334,5082,0.4808705251537612,-1.056,998.6097001998996,2068.006528036118
F23,7134,7632,6883,12911,12310,11337,12186,7216.333333333333,0.5921822856830242,-0.756,794.2927671834863,381.227403701955
F24,5503,5739,4952,13220,11526,11484,12076.666666666666,5398,0.4469776428374276,-1.162,990.3783788700829,403.87002859831034
G01,7063,6588,5537,13837,12122,11885,12614.666666666666,6396,0.5070288553007082,-0.98,1065.183708725088,780.9078050576777
G02,6168,6495,6145,14029,14287,11853,13389.666666666666,6269.333333333333,0.4682217630511091,-1.095,1337.030042045927,195.77112487119578
G03,3737,3153,3601,5297,4637,4231,4721.666666666667,3497,0.7406283092128485,-0.433,538.0198261526552,305.57486807654846
G04,4185,4021,3976,4343,4258,4283,4294.666666666667,4060.6666666666665,0.9455138155852219,-0.081,43.684474740270524,110.00151514108038
G05,6079,6559,7083,12618,12013,13059,12563.333333333334,6573.666666666667,0.5232422393207747,-0.934,525.1383944574357,502.1606648606931
G06,5905,6312,6792,12364,12228,13901,12831,6336.333333333333,0.4938300470215364,-1.018,929.1388486119822,444.0003753752167
G07,5605,4897,6764,14173,10573,12726,12490.666666666666,5755.333333333333,0.46077070879590093,-1.118,1811.5011270582565,942.5350568192853
G08,5913,6161,6528,13214,12543,11539,12432,6200.666666666667,0.4987666237666238,-1.004,842.998813759545,309.4128848857677
G09,7423,6200,7069,12326,10711,12352,11796.333333333334,6897.333333333333,0.5847014609059311,-0.774,940.0161346133019,629.3125879349096
G10,3694,3550,3301,4544,4244,3640,4142.666666666667,3515,0.8484872867718055,-0.237,460.44036892233214,198.8240428117284
G11,3411,3216,3579,3906,4054,3768,3909.3333333333335,3402,0.870225102319236,-0.201,143.02913456122613,181.6672782864322
G12,6400,5191,5516,12272,12076,11690,12012.666666666666,5702.333333333333,0.474693379210833,-1.075,296.1238479645524,625.6679097838831
G13,5938,5501,5788,12701,11655,13159,12505,5742.333333333333,0.4592029854724777,-1.123,770.9189321841824,222.05029460312215
G14,5912,5379,5775,13724,13603,11488,12938.333333333334,5688.666666666667,0.43967538322813343,-1.185,1257.4817427435412,276.78933023751716
G15,6377,6044,7182,12400,13976,12375,12917,6534.333333333333,0.5058708162370004,-0.983,917.2060837129244,585.0866032762443
G16,7036,6663,7136,13756,13077,13237,13356.666666666666,6945,0.5199650611429998,-0.944,354.96525651580794,249.2849774856078
G17,6347,5650,7363,14358,13662,11853,13291,6453.333333333333,0.48554159456273666,-1.042,1293.0533631679707,861.4362038673167
G18,6350,6266,6689,12750,12559,12561,12623.333333333334,6435,0.5097702667018749,-0.972,109.70110907977792,223.94418947586027
G19,7642,6208,6847,12937,13754,12025,12905.333333333334,6899,0.534585184419878,-0.904,864.9348723073509,718.4128339610868
G20,6985,6660,6499,11999,12525,12335,12286.333333333334,6714.666666666667,0.5465150980764535,-0.872,266.3556519643113,247.56884564365794
G21,7572,7639,7442,10607,12936,12415,11986,7551,0.6299849824795595,-0.667,1222.3301518002409,100.16486409914407
G22,6400,6930,6434,13196,12536,13045,12925.666666666666,6588,0.5096835753152642,-0.972,345.8038943293342,296.66816479022486
G23,6872,7014,6854,13215,12003,11482,12233.333333333334,6913.333333333333,0.5651226158038146,-0.823,889.1638394206848,87.64321612842224
G24,6484,6239,5919,12783,11777,10030,11530,6214,0.5389418907198612,-0.892,1393.0215360862157,283.32843133014376
H01,4292,2324,3148,6374,6821,5485,6226.666666666667,3254.6666666666665,0.5226980728051391,-0.936,680.0767113593387,988.3265317360115
H02,2845,2525,2761,3166,3015,2495,2892,2710.3333333333335,0.9371830336560627,-0.094,352.0042613378423,165.9076048086203
H03,7093,3638,4548,7009,9282,3733,6674.666666666667,5093,0.7630343587694766,-0.39,2789.567051234534,1790.8168527239184
H04,6242,6867,7652,12574,13217,11485,12425.333333333334,6920.333333333333,0.5569535357871016,-0.844,875.5183226713953,706.5113823098205
H05,4289,3052,3737,6122,9159,5636,6972.333333333333,3692.6666666666665,0.5296170578954917,-0.917,1909.2360601385396,619.6905141547136
H06,6458,4447,3347,7545,7736,8627,7969.333333333333,4750.666666666667,0.5961184540739503,-0.746,577.5069985145923,1577.5741926557157
H07,4537,3204,3639,5611,6130,5547,5762.666666666667,3793.3333333333335,0.6582600647848218,-0.603,319.7254030153584,679.7693236189268
H08,5812,5467,5263,9203,11111,10585,10299.666666666666,5514,0.5353571312987475,-0.901,985.4832993680478,277.501351348061
H09,5431,5963,6452,12450,12511,12125,12362,5948.666666666667,0.4812058458717576,-1.055,207.50180722104568,510.6508918364222
H10,5885,5506,6079,11618,12457,11274,11783,5823.333333333333,0.49421482927381255,-1.017,608.5154065428418,291.43495557899934
H11,6747,5016,6652,13724,11804,13088,12872,6138.333333333333,0.47687487051999167,-1.068,978.0552131653918,973.129145249146
H12,7138,5885,6711,11872,11674,14501,12682.333333333334,6578,0.5186742712960286,-0.947,1578.1198729289654,637
H13,4882,2847,2978,3619,4010,3570,3733,3569,0.9560675060273238,-0.065,241.1368905829218,1138.9762947489294
H14,3449,2639,3520,3899,4098,3981,3992.6666666666665,3202.6666666666665,0.8021372516279847,-0.318,100.01166598619051,489.4387942667942
H15,5543,3807,3866,7671,10290,10586,9515.666666666666,4405.333333333333,0.4629558272322836,-1.111,1604.3691387375081,985.6897754026535
H16,3587,2200,2575,3538,4528,3564,3876.6666666666665,2787.3333333333335,0.7190025795356837,-0.476,564.2209968915844,717.4652140231841
H17,6025,4170,3843,11079,12507,10774,11453.333333333334,4679.333333333333,0.4085564610011641,-1.291,925.15746407481,1176.7949410722895
H18,6463,5707,6284,13330,13088,13049,13155.666666666666,6151.333333333333,0.46758051029974407,-1.097,152.2311838400179,395.0750983462933
H19,5238,4651,4512,11374,10952,11824,11383.333333333334,4800.333333333333,0.42169838945827226,-1.246,436.0749171109631,385.34962479978276
H20,5783,6461,4581,11357,10503,11210,11023.333333333334,5608.333333333333,0.5087692772905956,-0.975,456.57675513908214,952.0931326993874
H21,4513,3334,3400,6543,6349,6355,6415.666666666667,3749,0.5843508079181171,-0.775,110.31470134725168,662.4658481763419
H22,6806,5404,6223,12533,11604,11599,11912,6144.333333333333,0.515810387284531,-0.955,537.8075864098608,704.3027284721629
H23,2662,2717,2831,6048,5795,5698,5847,2736.6666666666665,0.4680462915455219,-1.095,180.70141117323905,86.19938128161554
