Well,CBD_pl_1,CBD_pl_2,CBD_pl_3,V_pl_1,V_pl_2,V_pl_3,veh,cbd,fr_change,log_fr_change,veh_sd,cbd_sd,fr_change_sd,rep_count,p_val_diff
B04,4161,2665,5071,11973,14973,9558,12168,3965.6666666666665,0.3259094893710278,-1.617,2712.7615081315203,1214.8355169871077,0.12347901474989781,3,0.11374997837394207
B05,4851,3525,5557,11582,12183,11997,11920.666666666666,4644.333333333333,0.3896034897377104,-1.36,307.6854454362983,1031.6439954428724,0.08712476655594278,3,0.12350758559891299
B07,2734,3575,2520,3360,3126,2620,3035.3333333333335,2943,0.9695804963760157,-0.045,378.2397828538576,557.6889814224412,0.21989872445714498,3,0.0700724586079142
B08,5922,5547,6460,9585,9160,8591,9112,5976.333333333333,0.6558750365817969,-0.609,498.73540078883514,458.9186565540056,0.061848712973163605,3,0.05497627939208428
B10,5104,5531,5153,14936,13295,13649,13960,5262.666666666667,0.376981852913085,-1.407,863.5745480269784,233.67142173002958,0.028705753785400648,3,0.0052747934562418445
B12,3611,2938,3271,5008,4612,4110,4576.666666666667,3273.3333333333335,0.7152221412964311,-0.484,450.041479569754,336.5060673053806,0.10174738370819048,3,0.07569213028099808
B15,4263,2909,3150,8951,8690,7281,8307.333333333334,3440.6666666666665,0.4141722173180322,-1.272,898.3598017127288,722.2841084596374,0.09780355112566373,3,0.20770733195834806
B18,4507,4063,3614,12642,12151,10771,11854.666666666666,4061.3333333333335,0.3425936340119222,-1.545,970.0620255083348,446.5023329539649,0.04695263349831957,3,0.017402371910377693
B19,4276,3853,3641,5872,4662,7056,5863.333333333333,3923.3333333333335,0.6691301876065947,-0.58,1197.0235308185604,323.289859620331,0.14731347196881467,3,0.2153777555723777
D06,6799,3319,5098,7496,11519,5492,8169,5072,0.6208838291100502,-0.688,3069.3450441421537,1740.1456835564084,0.3159093747464935,3,0.6273701379900993
D08,2638,2439,2717,3174,3088,2962,3074.6666666666665,2598,0.8449696444058977,-0.243,106.62707598604274,143.2515270424717,0.05503973998759071,3,0.006807437432021245
D14,3501,2794,2558,9301,8156,7307,8254.666666666666,2951,0.3574947504441932,-1.484,1000.654952185484,490.7127469304216,0.07356608403427817,3,0.05995972076457265
D16,3230,3431,3484,3688,3750,3069,3502.3333333333335,3381.6666666666665,0.9655467783382506,-0.051,376.55588341351586,133.99378095021177,0.11063690995242018,3,0.01860690039437648
D22,5964,3624,2752,11166,9415,9720,10100.333333333334,4113.333333333333,0.407247285568133,-1.296,935.4091796285375,1660.9699977222147,0.16871668051428526,3,0.3758688296445331
F09,3478,3283,3450,3699,4158,3565,3807.3333333333335,3403.6666666666665,0.8939765365084923,-0.162,310.98928170169035,105.43402360402136,0.07809611553589246,3,0.01228712539663753
F14,2781,2500,2439,2816,2811,3205,2944,2573.3333333333335,0.8740942028985508,-0.194,226.04645540242387,182.4125361189119,0.09134293191938973,3,0.019498873139827063
H03,7093,3638,4548,7009,9282,3733,6674.666666666667,5093,0.7630343587694766,-0.39,2789.567051234534,1790.8168527239184,0.41675041062061274,3,0.41451327632806595
H07,4537,3204,3639,5611,6130,5547,5762.666666666667,3793.3333333333335,0.6582600647848218,-0.603,319.7254030153584,679.7693236189268,0.12348525660004352,3,0.18538601923259004
H13,4882,2847,2978,3619,4010,3570,3733,3569,0.9560675060273238,-0.065,241.1368905829218,1138.9762947489294,0.3112977496179756,3,0.13445570560866937
H14,3449,2639,3520,3899,4098,3981,3992.6666666666665,3202.6666666666665,0.8021372516279847,-0.318,100.01166598619051,489.4387942667942,0.12422019555616175,3,0.056515981578980884
H16,3587,2200,2575,3538,4528,3564,3876.6666666666665,2787.3333333333335,0.7190025795356837,-0.476,564.2209968915844,717.4652140231841,0.21260908608481696,3,0.24171807236907292
H17,6025,4170,3843,11079,12507,10774,11453.333333333334,4679.333333333333,0.4085564610011641,-1.291,925.15746407481,1176.7949410722895,0.10791683511730372,3,0.2218212992198745
H19,5238,4651,4512,11374,10952,11824,11383.333333333334,4800.333333333333,0.42169838945827226,-1.246,436.0749171109631,385.34962479978276,0.03750909169693735,3,0.03567572977130681
J03,7897,7984,8017,13054,11797,11405,12085.333333333334,7966,0.6591460723742277,-0.601,861.4826366986937,61.99193495931547,0.047265285640806017,3,0.027886653327347972
J05,3405,2876,3722,4882,5169,4612,4887.666666666667,3334.3333333333335,0.6821932755916251,-0.552,278.5432342264542,427.40418029464024,0.09569831028713846,3,0.09376312064831407
J08,3491,2518,3357,4455,3547,3754,3918.6666666666665,3122,0.7966995576726779,-0.328,475.8700803090412,527.3528230700961,0.16574257425478706,3,0.09913218866097824
J09,3029,2265,2653,3549,3580,3678,3602.3333333333335,2649,0.7353567132414176,-0.443,67.33745861950341,382.0157064833853,0.10693389940016981,3,0.06964571189142026
J12,5292,4356,5099,13070,12974,10321,12121.666666666666,4915.666666666667,0.4055272927265228,-1.302,1560.1616369252686,494.19867799634324,0.06623050774553359,3,0.09474551946688758
J15,7834,6405,8924,12487,13681,11658,12608.666666666666,7721,0.6123565801300693,-0.708,1016.9731232109004,1263.2960856426334,0.11170500738172838,3,0.27757252232011065
J17,7314,6576,7277,9874,11389,10563,10608.666666666666,7055.666666666667,0.6650851505058758,-0.588,758.5316956682386,415.81526346844623,0.061625699649638654,3,0.04806067431282437
J19,7565,7391,6430,11157,10339,11934,11143.333333333334,7128.666666666667,0.6397247980855519,-0.644,797.5878217057564,611.2858033140744,0.0714551539812439,3,0.09280159211506088
J22,3643,3134,4111,7704,9511,8398,8537.666666666666,3629.3333333333335,0.4250966306172647,-1.234,911.5603838108221,488.6433600626671,0.07304597258912417,3,0.15670268187033912
L11,3744,3202,3322,3823,3771,4187,3927,3422.6666666666665,0.8715728715728716,-0.198,226.66274506411503,284.67759541863023,0.08823761291832062,3,0.018340763033541183
L13,2558,2981,2605,2608,3192,2988,2929.3333333333335,2714.6666666666665,0.9267182521620391,-0.11,296.38713422369284,231.84549452886364,0.1227024437355069,3,0.027557766269204288
L14,2503,2565,2744,3425,2962,3002,3129.6666666666665,2604,0.8320374906805837,-0.265,256.5469417734956,125.14391715141412,0.07906156946146589,3,0.018259431513287495
L16,3541,3169,2791,4406,4293,4631,4443.333333333333,3167,0.7127531882970743,-0.489,172.06491023254372,375.0039999786669,0.08879561282012836,3,0.05963654011038086
N07,7372,5108,7975,10774,10920,11686,11126.666666666666,6818.333333333333,0.6127920910724985,-0.707,489.8666485211392,1511.5661855616293,0.13850378078645328,3,0.354595555966763
N13,3582,3624,3635,5188,5945,5162,5431.666666666667,3613.6666666666665,0.6652961030991101,-0.588,444.7497423645497,27.970222261064237,0.05471788819808912,3,0.03660614533476903
N16,6616,3362,4133,12310,12322,11226,11952.666666666666,4703.666666666667,0.39352445758268734,-1.345,629.340395440602,1700.4041676417207,0.14376249645379136,3,0.2739664652034326
N17,5649,3383,3832,9392,11342,12306,11013.333333333334,4288,0.3893462469733656,-1.361,1484.542129187762,1199.8504073425154,0.12092733667558732,3,0.20722740761769756
N18,3096,2784,2824,2773,2769,2955,2832.3333333333335,2901.3333333333335,1.0243615393668353,0.035,106.2512745021599,169.76846978556804,0.07119982646998861,3,0.005286587904543032
DMSO,NA,NA,NA,NA,NA,NA,12707.28125,6573.184027777777,0.5172769767551795,-0.951,988.0051281073273,761.0613468579793,0.0721427638026904,96,1
